	text_id	text	task_1	task_2	task_3	clean_text
232	hasoc_hi_3992	Kaiske saath Naya Gathbandhan ka,Phale Congress ke saath haare ab BSP ke saath.Naya Gathbandhan kiske saath.Waise bhi you are nominated CM by your father not elected CM by public	NOT	NONE	NONE	kaiske saath naya gathbandhan kaphale congress ke saath haare ab bsp ke saathnaya gathbandhan kiske saathwaise bhi you are nominated cm by your father not elected cm by public
1365	hasoc_hi_6998	पुणे में बीती रात कैसे गिरी दीवार और क्या है वहाँ का हाल, बता रहे हैं संवाददाता @PKhelkar।   #ReporterDiary  अन्य वीडियो: http://bit.ly/IndiaTodaySocial …	NOT	NONE	NONE	पुणे बीती रात कैसे गिरी दीवार क्या हाल बता संवाददाता । #reporterdiary अन्य वीडियो http//bitly/indiatodaysocial …
3096	hasoc_hi_532	अगर सरकारी अधिकारीयों क़ो ये वीडियो देखकर शर्म आये तो @Airtel_Presence @airtelindia पर कार्यवाई करें ॥     नहीं तो येही समझा जायेगा की जनता की वेल्यू 0 है @DoT_India @rssharma3 @SanjayDhotreMP @OfficeOfRSP	HOF	HATE	TIN	अगर सरकारी अधिकारीयों क़ो वीडियो देखकर शर्म आये कार्यवाई ॥ येही समझा जायेगा जनता वेल्यू 0
194	hasoc_hi_6796	हरामी में कौन सा कलर होता है?  शांतिदूत भी बता देंगे, लेकिन तुमसे ना बोला जाएगा दल्ले।    	HOF	PRFN	UNT	हरामी सा कलर शांतिदूत बता देंगे तुमसे बोला जाएगा दल्ले।
4499	hasoc_hi_4924	दिल्ली में आयुष्मान भारत योजना को रोक कर मुख्यमंत्री केजरीवाल ने दिल्ली की जनता के साथ बहुत बड़ा विश्वासघात किया है - श्री @ManojTiwariMP	HOF	HATE	TIN	दिल्ली आयुष्मान भारत योजना रोक मुख्यमंत्री केजरीवाल दिल्ली जनता बड़ा विश्वासघात श्री
2350	hasoc_hi_5360	मीडिया लाॅबी का गाँड़ मारो,  हिजड़े बच्चे जनते हैं क्या?  हिंदू टुकड़ों-टुकड़ों में बँटा है, एक टुकड़े को मारो तो दूसरा हँसता है। हिंदुओं में सेकुलर कुत्तों की भरमार है।   'सबका साथ सबका विकास सबका विश्वास' तुष्टिकरण का नया प्रयोग।  कुत्ते की मौत मरेगा हिंदू,   अभी भी समय है, चेत जाओ।	NOT	NONE	NONE	मीडिया लाॅबी गाँड़ मारो हिजड़े बच्चे जनते क्या हिंदू टुकड़ोंटुकड़ों बँटा टुकड़े मारो दूसरा हँसता है। हिंदुओं सेकुलर कुत्तों भरमार है। सबका सबका विकास सबका विश्वास तुष्टिकरण नया प्रयोग। कुत्ते मौत मरेगा हिंदू समय चेत जाओ।
3897	hasoc_hi_3601	बहुत अच्छा जोया जी इनके नसीब में दलाली है ना,,	HOF	OFFN	UNT	अच्छा जोया जी इनके नसीब दलाली
2349	hasoc_hi_3355	Tera baap  jo rooj krta h wo mat krn bhosdi kai cheenal.. गांडु इंसान है तू रंडी का बच्चा है  तू	HOF	PRFN	UNT	tera baap jo rooj krta h wo mat krn bhosdi kai cheenal गांडु इंसान तू रंडी बच्चा तू
3247	hasoc_hi_3039	उनकी तो गांड में छाता घुसा के खोल दो। सुवर की औलाद 	HOF	PRFN	TIN	गांड छाता घुसा खोल दो। सुवर औलाद
2130	hasoc_hi_3478	बुआ की बेटी को मेरा लुंड का सुख दिलवाया 	HOF	PRFN	TIN	बुआ बेटी मेरा लुंड सुख दिलवाया
1978	hasoc_hi_1092	इस हार से लगा था कि कुछ तो जरूर सिख जाओगे तुम लोग लेकिन लगता मायावती कि तरह पूरी तरह से विनाश करवा कर ही मानोगी। तुमको लगता बहुत बेशब्री से उस दिन का इंतजार है जब #कन्हैया_कुमार जैसा देश द्रोही दोगला नमक हराम इस देश के टुकड़े करेगा हाथ में पावर ले कर और तुम लोग चाहते भी यही हो।	NOT	NONE	NONE	हार लगा जरूर सिख जाओगे तुम लोग लगता मायावती पूरी विनाश करवा मानोगी। तुमको लगता बेशब्री दिन इंतजार #कन्हैयाकुमार देश द्रोही दोगला नमक हराम देश टुकड़े करेगा हाथ पावर ले तुम लोग चाहते हो।
1618	hasoc_hi_4014	बिहार में चमकी बुखार के प्रकोप पर सीएम नीतीश कुमार LIVE    देखने के लिए नीचे लिंक पर क्लिक करें:    https://www.youtube.com/watch?v=ufqXGYKZEY8 …	NOT	NONE	NONE	बिहार चमकी बुखार प्रकोप सीएम नीतीश कुमार live देखने लिंक क्लिक https//wwwyoutubecom/watchv=ufqxgykzey8 …
980	hasoc_hi_5317	अधिकारी को बैट से पीटने वाले बीजेपी MLA आकाश विजयवर्गीय जेल से रिहा  #AkashVijayvargiya   https://abpnews.abplive.in/india-news/bjp-mla-akash-vijayvargiya-released-from-jail-1157169 …	NOT	NONE	NONE	अधिकारी बैट पीटने बीजेपी mla आकाश विजयवर्गीय जेल रिहा #akashvijayvargiya https//abpnewsabplivein/indianews/bjpmlaakashvijayvargiyareleasedfromjail1157169 …
1259	hasoc_hi_4318	SARFARAZ: chlo baaris aaagyii..  UMPIRE: Baris nhi hai log thuk rhe hai tumpe bsdk  @hardcorefeminst  haii nA	HOF	PRFN	TIN	sarfaraz chlo baaris aaagyii umpire baris nhi hai log thuk rhe hai tumpe bsdk haii na
1176	hasoc_hi_3790	#कमीने 70 साल से   #बीफपार्टी, ब्रीफकेसपार्टी, बोफर्सपार्टी में व्यस्त है  #पीडी ऐश कर रहा है  #बच्चे भूखे मर रहे है  देश मे 70 साल दिल्ली में 15 साल तक  कोंन #वेश्याबृत्ति कर रहा था ?  विपक्ष में बैठ कर भूखों का ही पता लगा लेते कुछ तो काम करते हरामखोरों ?   #कांगिओ गढ्ढा खोदो अपना	HOF	HATE	TIN	#कमीने 70 साल #बीफपार्टी ब्रीफकेसपार्टी बोफर्सपार्टी व्यस्त #पीडी ऐश #बच्चे भूखे मर देश 70 साल दिल्ली 15 साल कोंन #वेश्याबृत्ति विपक्ष बैठ भूखों पता लगा लेते काम हरामखोरों #कांगिओ गढ्ढा खोदो
2307	hasoc_hi_1869	चूड़ियाँ ही भिजवा दो हरिया बालम, हम हिन्दू उसी को पहन के रंडी रोना कर लेंगे। और तो कुछ कर नही सकते।	HOF	OFFN	TIN	चूड़ियाँ भिजवा हरिया बालम हम हिन्दू पहन रंडी रोना लेंगे। नही सकते।
871	hasoc_hi_3981	#TheTruth1925  कहां है #सेकुलर,#सहिष्णुता_गैंग, #मोब_लिंचिंग की दिनरात शोर-शराबा करनेवाले हरामी के औलादों,सालों,खामोश क्यों हो?कुछ तो बोलो।कुछ भी क्यों नही बोल रहे हो ?सालों,तुम्हारे मुह में #अल्लाह_मियां के #लॉलीपॉप है क्या जिसे सालों चूस रहे हो?#PleaseRT	HOF	OFFN	TIN	#thetruth1925 कहां #सेकुलर#सहिष्णुतागैंग #मोबलिंचिंग दिनरात शोरशराबा करनेवाले हरामी औलादोंसालोंखामोश क्यों होकुछ बोलो।कुछ क्यों नही बोल सालोंतुम्हारे मुह #अल्लाहमियां #लॉलीपॉप क्या सालों चूस हो#pleasert
4103	hasoc_hi_2842	प्रधानमंत्री जी शमशान और कब्रिस्तान से चले थे, सांसद महोदय जय श्री राम और अल्लाहु अकबर तक पहुंच गए हैं।  आगे आगे देखते जाइए अभी संसद में संविधान की और धज्जियां उड़ेंगी, मुश्किल नहीं है कि हवन और नमाज़ के लिए भी युद्ध शुरू हो जाए! बाकी जनता का क्या है वो तो बिना इलाज मरती ही रहेगी।	HOF	OFFN	UNT	प्रधानमंत्री जी शमशान कब्रिस्तान चले सांसद महोदय जय श्री राम अल्लाहु अकबर पहुंच गए हैं। आगे आगे देखते जाइए संसद संविधान धज्जियां उड़ेंगी मुश्किल हवन नमाज़ युद्ध शुरू जाए बाकी जनता क्या वो बिना इलाज मरती रहेगी।
180	hasoc_hi_3884	मीडिया के #ExitPoll पर BJP की सुनामी चल रही है,    ये देखकर मुझे तेरी मेहरबानिया फिल्म के #कुत्ते की वफादारी याद आ गई-  #जी_हाँ    #ExitPoll2019   @Anjupra7743   @AacharyaSahiiL   @Anu_yadav88	NOT	NONE	NONE	मीडिया #exitpoll bjp सुनामी चल रही देखकर मुझे तेरी मेहरबानिया फिल्म #कुत्ते वफादारी याद आ गई #जीहाँ #exitpoll2019
433	hasoc_hi_6885	मुंबई: बारिश से बेहाल मायानगरी, एक दिन की सार्वजनिक छुट्टी का एलान, जरूरी होने पर ही बाहर निकलने की हिदायत    पढ़ें खबर- https://abpnews.abplive.in/india-news/heavy-rain-in-mumbai-public-holiday-declared-airport-main-runway-closed-1158311 …	NOT	NONE	NONE	मुंबई बारिश बेहाल मायानगरी दिन सार्वजनिक छुट्टी एलान जरूरी बाहर निकलने हिदायत पढ़ें खबर https//abpnewsabplivein/indianews/heavyraininmumbaipublicholidaydeclaredairportmainrunwayclosed1158311 …
1560	hasoc_hi_2113	Aap agle pardhan mantry banoge. Akhilesh. Bhai. Akhilesh zindaabad	NOT	NONE	NONE	aap agle pardhan mantry banoge akhilesh bhai akhilesh zindaabad
4562	hasoc_hi_713	दीपावली पर पटाखे फोड़े तो सजा....     पत्थरबाज बम ब्लास्ट करे तो भटके हुए नौजवान...     क्या चुतियापा है भेनचोद...	HOF	PRFN	UNT	दीपावली पटाखे फोड़े सजा पत्थरबाज बम ब्लास्ट करे भटके नौजवान क्या चुतियापा भेनचोद
3132	hasoc_hi_6298	में ‍तेरी‍ हर #चाल‍ से #वाकिफ हु #मेरी जान  #乙ɩŋdԍɩ_kɑ_ɘk_ʜɩssɑ   मैंने #कमीने पन में #गुजारा हे	HOF	OFFN	UNT	‍तेरी‍ हर #चाल‍ #वाकिफ हु #मेरी जान #乙ɩŋdԍɩkɑɘkʜɩssɑ मैंने #कमीने पन #गुजारा
1247	hasoc_hi_1267	भाई आपका लुंड कटा है की नही	HOF	PRFN	TIN	भाई आपका लुंड कटा नही
4261	hasoc_hi_1097	जी सही कहा आपने सुअर आचार्य जी  दंगाईयो का कोई धर्म नही होता अगर दंगाई   विशेष समुदाय से हों पीड़ित बहुसंख्यक हो  मगर पीड़ित जालीदार टोपी वाला हुआ तो  दंगाईयो का धर्म भी होता हैं और अगड़ा समुदाय   भी होता हैं वाह क्या कहने तेरी घटिया सोच के	HOF	OFFN	TIN	जी सही आपने सुअर आचार्य जी दंगाईयो धर्म नही अगर दंगाई विशेष समुदाय हों पीड़ित बहुसंख्यक पीड़ित जालीदार टोपी वाला दंगाईयो धर्म अगड़ा समुदाय वाह क्या कहने तेरी घटिया सोच
3766	hasoc_hi_6831	नाम से ही अमेरिका के एयरपोर्ट पर तय होता है कि आरती उतारनी है या पतलून....    और चमचे कहते हैं नाम में क्या रखा है    #कमीने	NOT	NONE	NONE	नाम अमेरिका एयरपोर्ट तय आरती उतारनी पतलून चमचे नाम क्या रखा #कमीने
2893	hasoc_hi_3369	बस मुझे इतना बता दो कोई    अगर यही भीड़ जय श्री राम बोलती और हमला किसी मस्जिद पर हुआ होता    क्या तब भी ऐसा ही सन्नाटा होता?     - मीडिया में एक ख़बर तक नहीं  - बॉलीवुड का कोई रिएक्शन नहीं  - नेता, कोर्ट, इंटलेक्चुअल सब बिल्कुल चुप    हिन्दू होना गुनाह हैं क्या?	HOF	HATE	TIN	बस मुझे इतना बता अगर भीड़ जय श्री राम बोलती हमला मस्जिद क्या ऐसा सन्नाटा मीडिया ख़बर बॉलीवुड रिएक्शन नेता कोर्ट इंटलेक्चुअल सब बिल्कुल चुप हिन्दू गुनाह क्या
378	hasoc_hi_2542	भड़काने वाले तो बस तमाशा देखते है और आम कश्मीरी इनकी बातो मै आकर अपना भविष्य खराब कर देता है।पत्थरबाज बनकर । इनका हाल निकालना पड़ेगा अमित शाहजी।	NOT	NONE	NONE	भड़काने बस तमाशा देखते आम कश्मीरी इनकी बातो मै आकर भविष्य खराब देता है।पत्थरबाज बनकर । हाल निकालना पड़ेगा अमित शाहजी।
4031	hasoc_hi_3084	@myogiadityanath जी इस ग्रुप की इतनी पिटाई करो की सालो को नानी याद आजाये.. हरामी यों को.    जय श्री राम.	HOF	OFFN	UNT	जी ग्रुप इतनी पिटाई करो सालो नानी याद आजाये हरामी यों जय श्री राम
237	hasoc_hi_5248	रुबिका जी मत पूछो इस दर्द को धरती का स्वर्ग कहे जाने वाले आज के कश्मीर को...  सिर्फ जिहाद,आतंक,पत्थरबाज सहित पूरी पाकिस्तान परस्त क़ौम  जो हमारे सेना को चोट पहुचा रही है। सचमें  कहां गया वो काश्मीर और भोली भाली कश्मीरियत जिसके किस्से सुन सुन कर हम जवान से अधेड़ हो गए।	NOT	NONE	NONE	रुबिका जी मत पूछो दर्द धरती स्वर्ग कहे जाने आज कश्मीर सिर्फ जिहादआतंकपत्थरबाज सहित पूरी पाकिस्तान परस्त क़ौम हमारे सेना चोट पहुचा रही है। सचमें कहां वो काश्मीर भोली भाली कश्मीरियत जिसके किस्से सुन सुन हम जवान अधेड़ गए।
4102	hasoc_hi_1218	मणीशंकर जिंदा है BJP को जिताने के लिये। आ गया कांग्रेसी जिन्न। शाम पित्रोदा के बाद फिर एकबार कांग्रेस की लुटिया डुबोने। अपने 2017 के #नीच वाले बयान पर कायम और कांग्रेस की सहमती इस बयान पर। दिखावे के लिए पल्ला झाड़ लिया। ये पप्पू की गाली गेंग है और पप्पू उनका गेंगस्टर। 	HOF	OFFN	TIN	मणीशंकर जिंदा bjp जिताने लिये। आ कांग्रेसी जिन्न। शाम पित्रोदा एकबार कांग्रेस लुटिया डुबोने। 2017 #नीच बयान कायम कांग्रेस सहमती बयान पर। दिखावे पल्ला झाड़ लिया। पप्पू गाली गेंग पप्पू गेंगस्टर।
417	hasoc_hi_2834	कृपया कूड़े के लिए कूड़ादान का ही प्रयोग करें ----धन्यवाद	NOT	NONE	NONE	कृपया कूड़े कूड़ादान प्रयोग धन्यवाद
2968	hasoc_hi_7657	Meri nazar me ap bahut darpok leader ho warna itana sab Hone ke bad chupchap baithe ho Lucknow ke ac room me press conference us media se jisame ek second ke liye tumhara kuchh nahi ata .......... Neta ji jawan hote to sadko par hote .... Sarkar ko hila dete ..... Darpok ho ap Darpok	HOF	OFFN	UNT	meri nazar me ap bahut darpok leader ho warna itana sab hone ke bad chupchap baithe ho lucknow ke ac room me press conference us media se jisame ek second ke liye tumhara kuchh nahi ata neta ji jawan hote to sadko par hote sarkar ko hila dete darpok ho ap darpok
4062	hasoc_hi_6588	चिराग तले अंधेरा इसी को कहते हैं।  अपनी बेटी के अच्छे काम और पार्टी के सहयोग की प्रशंसा करने कि जगह मोदी जैसे #नीच के फैन हैं।  मां बाप का सम्मान जरूर करना चाहिए लेकिन अपनी सोच और उसुलों से समझौता नहीं करना चाहिए।  मुझे आज तक समझ नहीं आया लोग मोदी जैसे दंगाई के फैन कैसे हो सकते हैं?	HOF	PRFN	TIN	चिराग तले अंधेरा हैं। बेटी अच्छे काम पार्टी सहयोग प्रशंसा जगह मोदी #नीच फैन हैं। मां बाप सम्मान जरूर चाहिए सोच उसुलों समझौता चाहिए। मुझे आज समझ आया लोग मोदी दंगाई फैन कैसे
124	hasoc_hi_6155	Pahle aap Pappu ke stah ab bua ke sath aapka bhi self kuch hai ya nahi	NOT	NONE	NONE	pahle aap pappu ke stah ab bua ke sath aapka bhi self kuch hai ya nahi
438	hasoc_hi_4158	रे माधरचोद @manakgupta क्या तेरी Gand में इतना दम नहीं की तू भड़वे अपने पापों को टेग करके ट्वीट करे, राहुल को तो बड़ी जल्दी कर दिया। हिम्मत है तो BJP वालों को टेग कर तेरे को छट्टि का दूध याद दिला देंगे।  दलाल, भडवा ओर चाटूकार भाग मानक भाग !! https://twitter.com/manakgupta/status/1145573600608391168 …	HOF	PRFN	TIN	रे माधरचोद क्या तेरी gand इतना दम तू भड़वे पापों टेग करके ट्वीट करे राहुल बड़ी जल्दी दिया। हिम्मत bjp वालों टेग तेरे छट्टि दूध याद दिला देंगे। दलाल भडवा चाटूकार भाग मानक भाग https//twittercom/manakgupta/status/1145573600608391168 …
3838	hasoc_hi_3427	बेशर्मी कि हद है पुरा मंदिर गिरा दिया ये दल्ले केह रहे हैं कि शरारती तत्व है यही उलटा होता तो रंडी रोना चालु कर देते	HOF	PRFN	TIN	बेशर्मी हद मंदिर गिरा दल्ले केह शरारती तत्व उलटा रंडी रोना चालु देते
578	hasoc_hi_2888	बड़ी खबर उतने ही चरण में मतदान होंगे जितने बीजेपी सांसद ने  मारे थे जूते                 %FollowBack	NOT	NONE	NONE	बड़ी खबर उतने चरण मतदान होंगे जितने बीजेपी सांसद मारे जूते followback
451	hasoc_hi_3219	हरामजादा केजरीवाल अब कहा मार गया सूअर को अब कुछ क्यों नहीं दिखाई दे रहा इस madarchod kejariwal Ko Desh ke bahar karo।	HOF	PRFN	TIN	हरामजादा केजरीवाल अब मार सूअर अब क्यों दिखाई दे madarchod kejariwal ko desh ke bahar karo।
4531	hasoc_hi_4928	बहुत #दुःख होता है और #क्रोध भी आता है जब भी मैं #दिल्ली आता हूँ और यह देखता हूँ   #सनातन_धर्म का इससे बड़ा अपमान अब न हो इसके लिए #भारत_सरकार को ठोस कदम उठाने चाहिए @narendramodi @ManojTiwariMP @TajinderBagga  @ArvindKejriwal @Sunil_Deodhar @OfficialSdmc @tweetndmc @PMOIndia	HOF	HATE	TIN	#दुःख #क्रोध आता मैं #दिल्ली आता हूँ देखता हूँ #सनातनधर्म इससे बड़ा अपमान अब #भारतसरकार ठोस कदम उठाने चाहिए
2473	hasoc_hi_4964	राष्ट्रपति शासन  बंगाल में लगना चाहिए या UP  बिहार मे  ??	NOT	NONE	NONE	राष्ट्रपति शासन बंगाल लगना चाहिए up बिहार
1720	hasoc_hi_5597	एक सुनसान सड़क के #सफर पर,  अनजान #हमसफर बने हो तुम।  अब देखना यह है कि........  #जन्नत तक साथ निभाओगे या मुझे #तन्हाई को सौप जाओगे।।  #बज़्म   #हिंदी_शब्द   #alfazmere   #jaykealfaz	NOT	NONE	NONE	सुनसान सड़क #सफर अनजान #हमसफर बने तुम। अब देखना #जन्नत निभाओगे मुझे #तन्हाई सौप जाओगे।। #बज़्म #हिंदीशब्द #alfazmere #jaykealfaz
634	hasoc_hi_6457	दंगाई मस्त, पुलिस पस्त!  देखिए #Dangal @sardanarohit के साथ, शाम 5 बजे, सिर्फ आजतक पर	NOT	NONE	NONE	दंगाई मस्त पुलिस पस्त देखिए #dangal शाम 5 बजे सिर्फ आजतक
3116	hasoc_hi_1286	यह हरामी हिंदुस्तान की रोटी खाते है और रोते है पाकिस्तान के लिए	HOF	OFFN	TIN	हरामी हिंदुस्तान रोटी खाते रोते पाकिस्तान
2368	hasoc_hi_428	तुमको भड़वा की उपाधि सही दी गयी थी @AMISHDEVGAN	HOF	HATE	TIN	तुमको भड़वा उपाधि सही दी गयी
289	hasoc_hi_3350	पहले कश्मीर मे भारत की जनता के पैसे से भारत विरोधियों को सुरक्षा दी जाती थी।    हमने सुरक्षा का रिव्यू किया और 2000 मे से 919 लोग,जिन्हें भारत विरोधी बयान के कारण सुरक्षा मिली थी,उनकी सुरक्षा को हटा लिया।    भारत विरोधी पाक न्यूज़ चैनलों को बंद किया: @AmitShah	NOT	NONE	NONE	कश्मीर भारत जनता पैसे भारत विरोधियों सुरक्षा दी जाती थी। हमने सुरक्षा रिव्यू 2000 919 लोगजिन्हें भारत विरोधी बयान कारण सुरक्षा मिली थीउनकी सुरक्षा हटा लिया। भारत विरोधी पाक न्यूज़ चैनलों बंद
678	hasoc_hi_4238	दिल्ली: बीजेपी ने शुरू की विधानसभा चुनाव की तैयारी, जे पी नड्डा बोले- उपहास का विषय बन गई है AAP    #Delhi   https://abpnews.abplive.in/india-news/delhi-aap-has-become-a-laughing-stock-says-bjps-jp-nadda-at-party-meet-1156929 …	NOT	NONE	NONE	दिल्ली बीजेपी शुरू विधानसभा चुनाव तैयारी जे पी नड्डा बोले उपहास विषय बन गई aap #delhi https//abpnewsabplivein/indianews/delhiaaphasbecomealaughingstocksaysbjpsjpnaddaatpartymeet1156929 …
1632	hasoc_hi_1459	Lagta hai ab yogiji ne Ghar mein AC fit karwa liya hai. Jaraa policewalon ki salary bhi rewise karo	NOT	NONE	NONE	lagta hai ab yogiji ne ghar mein ac fit karwa liya hai jaraa policewalon ki salary bhi rewise karo
3800	hasoc_hi_6661	अबे दोगले ,मुस्लिम युवकों द्वारा तोड़फोड़ की गई ये बोलने में तेरे मुँह में दही जम गया क्या    अराजक तत्व मुस्लिम थे मुस्लिम     कितने दोगले हो तुम कांग्रेसियों    तुम्हारी गांड क्यों फटती है शांतिदूतों से,मुझे आज तक समझ नही आया    जो कायर हिन्दू पहले मुस्लिम बन गए थे वो तुम जैसे ही थे	HOF	PRFN	UNT	अबे दोगले मुस्लिम युवकों तोड़फोड़ गई बोलने तेरे मुँह दही जम क्या अराजक तत्व मुस्लिम मुस्लिम कितने दोगले तुम कांग्रेसियों तुम्हारी गांड क्यों फटती शांतिदूतों सेमुझे आज समझ नही आया कायर हिन्दू मुस्लिम बन गए वो तुम
1816	hasoc_hi_5026	#Jharkhand में हुए #MobLynching के विरोध में यूपी के मेरठ के बाद #Agra में भी जुलूस के दौरान बवाल हो गया। #JharkhandLynching	NOT	NONE	NONE	#jharkhand #moblynching विरोध यूपी मेरठ #agra जुलूस दौरान बवाल गया। #jharkhandlynching
1649	hasoc_hi_5569	समबन्ध कायम करे   #आडवाणी = #मोदी =#प्रज्ञा_ठाकुर 	NOT	NONE	NONE	समबन्ध कायम करे #आडवाणी = #मोदी =#प्रज्ञाठाकुर
1073	hasoc_hi_6149	दिल्ली के कई हिस्सों में पानी की भारी कमी है, केजरीवाल बताएँ उन्होंने जनता को इससे निजात दिलाने के लिए क्या किया ?- श्री @ManojTiwariMP	NOT	NONE	NONE	दिल्ली हिस्सों पानी भारी कमी केजरीवाल बताएँ उन्होंने जनता इससे निजात दिलाने क्या श्री
587	hasoc_hi_635	सत्येंद्र जैन के द्वारा मेरे खिलाफ मानहानि का केस किया गया था    श्री @AdvAshwaniDubey जी की दलीलों के बाद आज अदालत ने इस मुकदमें में मेरे खिलाफ जो नोटिस दिए गए उस नोटिस पर रोक लगाने का आदेश दिया है	NOT	NONE	NONE	सत्येंद्र जैन मेरे खिलाफ मानहानि केस श्री जी दलीलों आज अदालत मुकदमें मेरे खिलाफ नोटिस दिए गए नोटिस रोक लगाने आदेश
2318	hasoc_hi_3780	तेरे जैसे सुअर ओर तेरी आतंकी क़ौम जब तक धरती पे रहेगी तब तक धरती पे अमन चैन नहीं रहेगा,क़ुरान सिर्फ़ आतंक फैलाना नफ़रत फैलाना हत्याएँ ओर बलात्कार करना ही सिखाती है ये दुनिया देख रही है,आतंक ओर इस्लाम १ सिक्के के २ पहलू हैं,जिस थाली मैं खाते हो तुम उसी मैं छेद करते हो	HOF	HATE	TIN	तेरे सुअर तेरी आतंकी क़ौम धरती रहेगी धरती अमन चैन रहेगाक़ुरान सिर्फ़ आतंक फैलाना नफ़रत फैलाना हत्याएँ बलात्कार सिखाती दुनिया देख रही हैआतंक इस्लाम १ सिक्के २ पहलू हैंजिस थाली मैं खाते तुम मैं छेद
2689	hasoc_hi_520	गैर हिंदू स्थल आतंकवाद पत्थरबाज इस्लामिक कट्टरता	NOT	NONE	NONE	गैर हिंदू स्थल आतंकवाद पत्थरबाज इस्लामिक कट्टरता
1842	hasoc_hi_1519	लुंड की प्यासी बुआ को बजाय 	HOF	PRFN	UNT	लुंड प्यासी बुआ बजाय
4647	hasoc_hi_4117	तू हवा के रुख पर चाहतो के दीप जलाने कि जिद न कर  ये कतिलो का शहर है यहाँ मुस्कराने कीं जिद ना कर. #Lynchistaan #India  @KaranwalTanu  @Anjupra7743 @SHIVANI92_	HOF	HATE	TIN	तू हवा रुख चाहतो दीप जलाने जिद कतिलो शहर मुस्कराने कीं जिद #lynchistaan #india
1784	hasoc_hi_5358	कांग्रेस मुख्यमंत्रियों के साथ @RahulGandhi की बैठक में क्या हुआ?    पढ़ें खबर- https://abpnews.abplive.in/india-news/what-happened-in-rahul-gandhi-meeting-with-five-congress-chief-minister-1158253 …    रिपोर्ट- @jainendrakumar	NOT	NONE	NONE	कांग्रेस मुख्यमंत्रियों बैठक क्या पढ़ें खबर https//abpnewsabplivein/indianews/whathappenedinrahulgandhimeetingwithfivecongresschiefminister1158253 … रिपोर्ट
2666	hasoc_hi_6054	नेपाल ने भारतीय सब्जियां खरीदने से किया इंकार सैकड़ों ट्रक भारत नेपाल सीमा पर अटके मतलब चौकीदार का डंका नेपाल में भी बज रहा है,,  @ziddy_zoya @BebakAawaj @VoiceofmyBharat @Anjupra7743	NOT	NONE	NONE	नेपाल भारतीय सब्जियां खरीदने इंकार सैकड़ों ट्रक भारत नेपाल सीमा अटके मतलब चौकीदार डंका नेपाल बज
664	hasoc_hi_5205	कटु सत्य  #कुत्ते पर बनी फिल्म '#तेरी_मेहरबानियाँ' सुपर हिट हो गई !    लेकिन सबसे मजबूत नेता #मोदी पर बनी फिल्म #फ्लॉप हो गई!   #शर्मनाक      @BaBoo_sAhAb_                   @aasmakhan_khan	NOT	NONE	NONE	कटु सत्य #कुत्ते फिल्म #तेरीमेहरबानियाँ सुपर हिट गई मजबूत नेता #मोदी फिल्म #फ्लॉप गई #शर्मनाक
3362	hasoc_hi_4095	दुनिया तो ख़ूबसूरत है,  लेकिन लोग मादरचोद है!!!!      #GoodMorning #ThoughtOfTheDay	HOF	PRFN	UNT	दुनिया ख़ूबसूरत लोग मादरचोद #goodmorning #thoughtoftheday
626	hasoc_hi_920	#Football is a way of life in most countries #LetsFootball	NOT	NONE	NONE	#football is a way of life in most countries #letsfootball
2024	hasoc_hi_4769	वसीम जायरा के हिसाब से बॉलीवुड में काम करने वाले सभी मुस्लिम कलाकार हरामी है।  इन सभी के पास ईमान नही है।	NOT	NONE	NONE	वसीम जायरा हिसाब बॉलीवुड काम मुस्लिम कलाकार हरामी है। पास ईमान नही है।
4273	hasoc_hi_4476	गांडू मदारी तो भड़वा मोहम्मद पैगम्बर हे सूअर गलत का विरोध करना अल्लाह टला हिजड़े ने नही सिखाया तुम्हे भडवे	HOF	PRFN	TIN	गांडू मदारी भड़वा मोहम्मद पैगम्बर सूअर गलत विरोध अल्लाह टला हिजड़े नही सिखाया तुम्हे भडवे
327	hasoc_hi_2992	*जब तक हम ऐसे एकजुट नहीं होंगे कुछ नहीं मिलेगा।*  *ये कुछ पंछी मिलकर पेड़ झुका सकते है तो हम इंसान मिलकर क्या नहीं कर सकते*    @Anjupra7743 @misspushparaj   @Santosh76194973 @avani_TS   @BhimArmyChief	NOT	NONE	NONE	हम एकजुट होंगे मिलेगा। पंछी मिलकर पेड़ झुका हम इंसान मिलकर क्या
2101	hasoc_hi_3661	तू सात सीट माँग रहा है तुझे तो एक सीट भी नहि देंगे। तुम जैसे कमिनो को दिल्ली तो क्या देश की जनता सीट तो दूर पानी तक पीने को नहि देंगे #कमीने कहीं के	HOF	PRFN	UNT	तू सात सीट माँग तुझे सीट नहि देंगे। तुम कमिनो दिल्ली क्या देश जनता सीट दूर पानी पीने नहि देंगे #कमीने कहीं
